,Workload_Name,Frequency,Voltage,Core_Count,Actual,EPH_0x11:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x1b:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x50:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x14:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x19:Frequency_A15:Voltage_A15_Squared_Percentage
784,susan,800,0.909503425,2,0.459131637,19.97232483,15.15416853,0.186965938,25.89386076,0.082365795
785,jpeg_enc,800,0.904503425,2,0.63569413,27.63620251,17.94065853,1.015738972,21.82070333,0.698288242
786,jpeg_dec,800,0.914691901,2,0.252770232,11.97265047,4.407635251,0.977356976,7.08776469,0.251681768
787,typeset,800,0.903401361,2,0.640216755,30.78880329,12.29164809,2.51801135,21.1622276,0.884304878
788,dijkstra,800,0.902708333,2,0.559038493,35.97460388,14.48886874,1.26340932,11.61309486,0.046376622
789,patricia,800,0.904081633,2,0.56010715,28.93978725,11.97144809,2.294189573,22.77257299,0.295918839
790,ispell,800,0.90287931,2,0.632717048,29.35729627,13.07595506,1.769391566,25.51923043,0.191217241
791,stringsearch,800,0.915890411,2,0.219472767,6.915220457,1.97923437,0.508118537,4.423646294,0.129623909
792,adpcm_c,800,0.905190972,2,0.515222819,27.46629024,11.92084147,2.040146609,21.76191997,0.355575392
793,adpcm_d,800,0.909166667,2,0.380548851,24.07306375,7.331467678,2.122074283,15.71232139,0.424816565
794,fft,800,0.904301724,2,0.572449186,27.61460703,12.64385655,0.354904825,25.5572215,0.102203444
795,h264_hq,800,0.91040493,2,0.439567965,21.19664674,10.26091582,1.663591447,19.03772068,1.985316616
796,h264_lq,800,0.911464041,2,0.415321192,19.94475479,9.467194165,1.754242488,16.97426885,2.155210193
797,mpeg4_hq,800,0.915119048,2,0.263097891,10.40784294,4.175173262,1.589436077,7.933030847,2.132677555
798,mpeg4_lq,800,0.915994898,2,0.259923197,9.62409367,3.96269155,1.4860738,7.421330594,2.20651767
799,jpg2000enc,800,0.90089527,2,0.551310804,37.40468062,8.96802606,6.990114691,10.00220633,1.865768292
800,dhrystone,800,0.901496599,2,0.701065041,30.49008874,17.68202103,0.056018714,23.00945235,0.007521357
801,neon_add,800,0.902483108,2,0.792939547,32.71305776,14.63124426,0.053650825,21.3350124,0.006892887
802,neon_mul,800,0.90245777,2,0.796123081,32.81786534,14.5785867,0.054418784,21.26166108,0.006175812
803,cstm_bmp,800,0.901428571,2,0.541830932,40.02030951,7.964230332,0.099861011,14.20738933,0.015753845
804,cstm_int,800,0.902668919,2,0.733391047,26.65970063,16.19026218,1.716281798,29.06050035,0.662493348
805,cstm_fp,800,0.902661565,2,0.762464864,26.01096477,17.17744506,0.941793499,29.99211795,0.761935256
806,lat_ctx_0_18,800,0.900996622,2,0.521605385,43.27164995,7.967459225,1.350165882,10.30545958,0.160971523
807,lat_ctx_500_18,800,0.900960884,2,0.536504041,40.64526574,8.493823868,2.888248085,8.889298364,3.818166095
808,lat_fs,800,0.901369048,2,0.549686898,36.77197582,8.075083835,1.699219095,19.25781617,0.49467328
809,lat_pagefault,800,0.902482759,2,0.789918007,39.54319937,8.703254933,3.116708155,24.46752619,0.067034898
810,lat_mem_rd_1_8,800,0.90057363,2,0.516060849,45.65384673,6.552431194,0.882130201,9.257402197,0.027106232
811,lat_mem_rd_1_256,800,0.900430743,2,0.443537432,45.88850547,3.873231934,3.662887706,3.861703917,0.015899549
812,lat_mem_rd_200_8,800,0.900340136,2,0.450358878,45.80578257,4.924683764,1.759050754,4.986689815,0.024270636
813,lat_mem_rd_200_256,800,0.900168919,2,0.443988993,45.84092111,3.825733296,3.824684266,3.993944854,0.024702366
814,lat_mem_rd_p4,800,0.901275338,2,0.664026878,57.4194832,7.03897957,0.106672259,6.785719915,0.010065898
815,lat_ops,800,0.901655405,2,0.526772865,38.32124286,12.04765372,0.193594118,15.09440402,0.03339132
816,lat_proc_fork,800,0.900561224,2,0.486490095,43.95976832,8.012438272,0.949597206,7.365847992,0.218537671
817,bw_mem_rd,800,0.901292808,2,0.591533911,34.41296567,5.607188736,5.217612631,9.023536742,14.73289047
818,bw_mem_wr,800,0.90111014,2,0.552037483,35.07709042,3.461136929,3.425932053,6.16596965,20.27589877
819,bw_mem_cp_200m,800,0.901137153,2,0.594340007,34.20393682,4.035131633,4.729409601,7.3671841,18.84017616
820,bw_mem_cp_700m,800,0.900784483,2,0.535906697,31.42674086,6.42036278,2.840290388,13.37522293,12.04271253
821,bw_mem_cp_2000m,800,0.900261824,2,0.457290845,45.50036066,8.058382782,0.267447524,3.745452939,0.069236254
822,tlb,800,0.900255102,2,0.430705354,46.7530534,5.503508978,0.150651521,4.080157535,0.044734881
823,line,800,0.900743243,2,0.485510324,41.81308298,6.979672238,1.367011403,6.197716949,5.015604773
824,cache,800,0.901462585,2,0.408452599,45.19810055,0.955016368,3.282095566,1.442217186,6.692998417
825,par_mem,800,0.900842014,2,0.580116931,37.8564394,2.168693019,8.496129487,2.532479743,13.75558052
826,gcc,800,0.902227891,2,0.62072168,30.74332327,10.580332,2.84064301,23.86181294,1.904762341
827,tar,800,0.90515411,2,0.639341418,26.05696694,14.46437219,2.704618135,25.80740973,0.302754812
828,mpeg4_lq_mp,800,0.914642857,2,0.27535468,11.40532798,4.205341688,1.512764395,8.077533745,2.792812752
829,par_mem_mp,800,0.900998264,2,0.577188861,37.78970895,2.575383894,7.912265157,2.944080397,13.62107625
830,mp_bus_spd,800,0.903402778,2,0.965313965,38.14102703,13.25506527,6.367582803,16.48534023,4.678303866
831,mp_bus_spd2,800,0.903510274,2,1.013222342,36.85643061,11.95266582,6.949462451,18.96727087,4.908433109
832,mp_dhry,800,0.910702055,2,0.598150548,28.17176078,12.68648611,2.179027147,22.43880669,0.00784272
833,mp_mflops,800,0.912810345,2,0.320277483,24.36742893,8.61130915,0.549581899,0.938823911,1.252020625
834,mp_lp_neon,800,0.902314189,2,0.863307432,38.16472737,9.372987031,4.557857598,24.8451865,0.662494102
835,mp_neon_mflops,800,0.904115646,2,1.129653742,34.45310774,15.0894089,1.638329508,22.69531063,4.250819325
836,mp_randmem,800,0.902836207,2,0.968356448,34.87924703,13.33813136,5.682404961,23.34887175,0.404476759
837,mp_whets,800,0.902868151,2,0.942707014,37.87092228,14.79720444,0.062382875,26.9326974,0.006351108
838,openmp_mem_spd,800,0.903835034,2,1.085038449,37.92490465,39.96193741,0.460798474,3.131178864,0.004988595
839,openmp_mflops,800,0.904991438,2,1.28219176,34.57619014,26.56482662,1.158999532,17.63416184,2.908031078
840,idle,800,0.916081081,3,0.18512223,1.411991583,0.341606377,0.117054841,0.974679054,0.02070693
841,basicmath,800,0.907602041,3,0.652212823,27.15073571,14.0374342,1.008224461,29.19198475,0.151126848
842,bitcount,800,0.903239796,3,0.812905871,30.23546793,22.64985347,0.096218742,26.43773601,0.016404435
843,qsort,800,0.90755102,3,0.651834088,29.10828911,14.39710287,0.788285368,25.36143848,0.833228325
